Team,Lineup,GAMES,TOTAL_TIME,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,POSS,PACE,PACE_FOR,PACE_VS,APL_OFF,APL_DEF,OFF_eFG%,OFF_TS%,OFF_AST%,OFF_OREB%,OFF_DREB%,OFF_TOV%,OFF_FT_RATE,OFF_3PA_RATE,OFF_RTG,PTS_VS,FGM_VS,FGA_VS,FG%_VS,3PM_VS,3PA_VS,3P%_VS,FTM_VS,FTA_VS,FT%_VS,OREB_VS,DREB_VS,REB_VS,AST_VS,STL_VS,BLK_VS,TOV_VS,PF_VS,POSS_VS,DEF_eFG%,DEF_TS%,DEF_TOV%,DEF_OREB%_VS,DEF_3PA_RATE,DEF_RTG,NET_RTG,RIM_ATT,RIM_MADE,RIM%,OTD_2PT_ATT,OTD_2PT_MADE,OTD_2PT%,OTD_3PT_ATT,OTD_3PT_MADE,OTD_3PT%,PASS_TO,DRIBBLE_TO,DEFENSE_TO,MISC_TO,RIM_ATT_VS,RIM_MADE_VS,RIM%_VS,OTD_2PT_ATT_VS,OTD_2PT_MADE_VS,OTD_2PT%_VS,OTD_3PT_ATT_VS,OTD_3PT_MADE_VS,OTD_3PT%_VS,PASS_TO_VS,DRIBBLE_TO_VS,DEFENSE_TO_VS,MISC_TO_VS
BK KVIS Pardubice,"R. Moffatt, L. Kovář, Z. Key, R. Bonham, J. Bryant",28,11063,388,140,319,43.9,42,133,31.6,66,81,81.5,44,125,169,96,29,20,42,75,338,71.9,73.4,70.4,32.7,34.1,50.5,54.7,68.6,26.5,74.9,8.5,25.4,41.7,114.6,327,127,307,41.4,44,132,33.3,29,45,64.4,42,122,164,75,19,10,53,102,324,48.5,50,14,25.1,43,100.8,13.8,131,75,57.3,55,23,41.8,131,42,32.1,18,11,2,8,114,64,56.1,57,19,33.3,130,43,33.1,22,25,6,4
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, J. Potoček, T. Vyoral, L. Pecka",25,7047,246,89,190,46.8,29,86,33.7,39,49,79.6,28,83,111,51,20,8,49,55,223,76.3,76,76.6,31.6,31.3,54.5,58.1,57.3,31.1,74.8,15.7,25.8,45.3,110.2,216,81,195,41.5,28,95,29.5,26,44,59.1,28,62,90,48,23,8,48,59,224,48.7,50.4,18.3,25.2,48.7,96,14.2,72,45,62.5,31,15,48.4,86,29,33.7,17,11,2,16,74,38,51.4,26,15,57.7,95,28,29.5,11,18,1,14
BK Opava,"W. Person Jr, C. Brown Jr, Š. Puršl, R. Kouřil, J. Slavík",12,4605,164,65,130,50,14,47,29.8,20,35,57.1,19,51,70,49,11,3,20,30,140,73.6,73.2,74,32.8,32.4,55.4,56.4,75.4,28.4,78.5,9.3,26.9,36.2,116.7,157,62,129,48.1,15,51,29.4,18,25,72,14,48,62,35,7,5,22,48,142,53.9,56.1,13.6,21.5,39.5,110.5,6.2,62,42,67.7,21,9,42.9,47,14,29.8,11,5,0,3,49,32,65.3,29,15,51.7,51,15,29.4,7,8,2,4
BK Olomoucko,"M. Nelson, K. Elvis, J. Andre, K. Filewich, O. Šiška",11,3927,152,61,114,53.5,16,45,35.6,14,20,70,20,33,53,34,9,2,17,27,115,70.2,70.3,70.1,34.1,34.2,60.5,61.9,55.7,37,68.8,9.8,17.5,39.5,132.2,140,53,105,50.5,17,45,37.8,17,24,70.8,15,34,49,37,9,3,19,18,114,58.6,60.6,14.1,31.2,42.9,122,10.2,41,27,65.9,28,18,64.3,45,16,35.6,8,5,1,3,43,26,60.5,17,10,58.8,45,17,37.8,10,5,0,3
BK Opava,"W. Person Jr, C. Brown Jr, R. Kouřil, J. Slavík, J. Švandrlík",11,3557,141,50,100,50,17,50,34,24,33,72.7,15,32,47,32,7,6,17,30,111,73.9,75.5,72.3,31.8,33.2,58.5,61.6,64,30.6,71.1,10.4,33,50,126.1,139,52,95,54.7,16,40,40,19,31,61.3,13,34,47,38,8,3,16,29,107,63.2,64,12.8,28.9,42.1,129.7,-3.6,34,25,73.5,15,8,53.3,50,17,34,5,8,0,2,32,24,75,23,12,52.2,40,16,40,8,4,2,2
USK Praha,"J. Montgomery, T. Henderson Jr., D. Vlk, O. Švec, T. Tainamo",13,3462,135,48,91,52.7,11,33,33.3,28,34,82.4,10,36,46,35,9,4,20,31,111,78.9,77.2,80.7,31.1,29.7,58.8,63.7,72.9,25,63.2,12.4,37.4,36.3,121.3,128,47,105,44.8,9,42,21.4,25,37,67.6,21,30,51,26,7,1,21,34,116,49,52.8,14.8,36.8,40,109.9,11.3,39,28,71.8,19,9,47.4,33,11,33.3,7,8,2,3,46,30,65.2,17,8,47.1,42,9,21.4,8,6,1,3
BK Olomoucko,"M. Nelson, K. Filewich, D. Žák, L. Autrey, O. Šiška",6,3424,131,54,90,60,14,31,45.2,9,10,90,12,34,46,32,9,3,23,21,101,71.6,70.9,72.2,33.8,33.2,67.8,69.4,59.3,35.3,72.3,15.4,11.1,34.4,129.5,111,44,96,45.8,9,31,29,14,19,73.7,13,22,35,24,12,1,16,17,103,50.5,53.2,13.3,27.7,32.3,107.7,21.8,43,30,69.8,16,10,62.5,31,14,45.2,13,8,1,1,49,28,57.1,15,6,40,31,9,29,7,5,1,3
SK Slavia Praha,"M. Ježek, R. Jones, J. Matušík, D. Böhm, M. Dáňa",10,3041,107,39,84,46.4,11,30,36.7,18,32,56.2,15,30,45,20,8,4,18,28,97,73.7,76.6,70.9,31.3,33.9,53,54.5,51.3,32.6,73.2,13.2,38.1,35.7,110.3,92,31,77,40.3,11,39,28.2,19,24,79.2,11,31,42,27,7,2,17,28,89,47.4,52.5,16.3,26.8,50.6,102.4,7.8,40,21,52.5,14,7,50,30,11,36.7,4,8,0,4,24,15,62.5,14,5,35.7,39,11,28.2,7,3,4,5
BK KVIS Pardubice,"R. Moffatt, L. Kovář, Z. Key, J. Bryant, J. Tůma",16,2786,138,47,75,62.7,10,25,40,34,45,75.6,14,27,41,28,16,4,11,17,88,74.5,75.9,73.1,31.6,32.8,69.3,72.8,59.6,46.7,71.1,8.2,60,33.3,156.6,80,30,72,41.7,11,33,33.3,9,10,90,11,16,27,21,5,0,23,33,84,49.3,52.4,23.1,28.9,45.8,94.3,62.3,44,34,77.3,5,2,40,25,10,40,5,2,0,2,24,13,54.2,15,6,40,33,11,33.3,12,8,2,2
SLUNETA  Ústí nad Labem,"A. Pecháček, N. Johnson, T. Vyoral, L. Pecka, F. Kábrt",15,2671,84,28,66,42.4,6,26,23.1,22,37,59.5,9,29,38,16,4,0,19,28,88,76.7,79.6,73.7,30.2,32.5,47,51,57.1,23.1,65.9,16.2,56.1,39.4,94.8,86,32,78,41,11,42,26.2,11,17,64.7,15,30,45,17,14,1,15,29,82,48.1,50.3,14.9,34.1,53.8,104.8,-10,31,17,54.8,9,5,55.6,26,6,23.1,8,7,0,2,22,16,72.7,13,5,38.5,42,11,26.2,2,5,1,5
